TEXT;ES;EN
Ver Pokédex;Ver Pokédex;View Pokédex
Movimientos;Movimientos;Moves
Recordar Movimiento;Recordar Movimiento;Remember Move
Olvidar Movimiento;Olvidar Movimiento;Forget Move
Usar MT;Usar MT;Use TM
Marcas;Marcas;Marks
Ver Habilidad;Ver Habilidad;View Ability
Histórico;Histórico;Legacy
¿Qué mote quieres para {1}?;¿Qué mote quieres para {1}?;What nickname do you want for {1}?
MO no pueden ser olvidadas en este momento.;MO no pueden ser olvidadas en este momento.;HM moves can't be forgotten now.
{1} olvidó como usar {2}.;{1} olvidó como usar {2}.;{1} forgot how to use {2}.
Forma Normal;Forma Normal;Normal Form
Macho;Macho;Male
Hembra;Hembra;Female
Sin género;Sin género;Genderless
¿Guardar cambios?;¿Guardar cambios?;Save changes?
¿Salir del mapa?;¿Salir del mapa?;Exit map?
¿Quieres usar Vuelo para ir a {1}?;¿Quieres usar Vuelo para ir a {1}?;Use Fly to go to {1}?
Pero no tuvo efecto.;Pero no tuvo efecto.;But, it had no effect.
Esto no puede ser usado en un Pokémon debilitado.;Esto no puede ser usado en un Pokémon debilitado.;This can't be used on a fainted Pokémon.
Bombilla;Bombilla;Light Bulb
Microondas;Microondas;Microwave
Lavadora;Lavadora;Washing Machine
Nevera;Nevera;Refrigerator
Ventilador;Ventilador;Fan
Corta césped;Corta césped;Lawn Mower
¿Qué electrodoméstico quieres pedir?;¿Qué electrodoméstico quieres pedir?;Which appliance do you want to order?
No tendría ningún efecto.;No tendría ningún efecto.;It would have no effect.
{1} se transformó!;{1} se transformó!;{1} transformed!
Total;Total;Total
IV;IV;IV
EV;EV;EV
PS;PS;HP
Ataque;Ataque;Attack
Defensa;Defensa;Defense
At. Esp.;At. Esp.;Sp. Atk
Def. Esp.;Def. Esp.;Sp. Def
At;At;Atk
Def;Def;Def
Ataque Especial;Ataque Especial;Special Attack
Defensa Especial;Defensa Especial;Special Defense
Velocidad;Velocidad;Speed
Vel;Vel;Spe
EVs Totales;EVs Totales;Total EVs
Poder Oculto;Poder Oculto;Hidden Power
¿Quieres ponerle un mote a {1}?;¿Quieres ponerle un mote a {1}?;Do you want to nickname {1}?
¿Mote de {1}?;¿Mote de {1}?;Nickname for {1}?
Agregar al equipo;Agregar al equipo;Add to party
Enviar a una caja;Enviar a una caja;Send to a Box
Ver datos de {1};Ver datos de {1};View {1}'s summary
Ver equipo;Ver equipo;View party
¿A dónde quieres enviar a {1}?;¿A dónde quieres enviar a {1}?;Where do you want to send {1}?
Elige a un Pokémon de tu equipo para enviar a las cajas.;Elige a un Pokémon de tu equipo para enviar a las cajas.;Choose a Pokémon from your party to send to Boxes.
"{1} fue enviado a la caja ""{2}"".";"{1} fue enviado a la caja ""{2}"".";"{1} was sent to Box ""{2}""."
Se agregó a {1} al equipo.;Se agregó a {1} al equipo.;{1} was added to the party.
"Se envió {1} a la caja ""{2}""!";"Se envió {1} a la caja ""{2}""!";"{1} was sent to Box ""{2}""!"
Sí;Sí;Yes
No;No;No
No se ha encontrado el Mapa {1}.;No se ha encontrado el Mapa {1}.;Map {1} was not found.
El juego ha detectado que la batería está baja. Deberías guardar pronto para evitar perder el progreso.;El juego ha detectado que la batería está baja. Deberías guardar pronto para evitar perder el progreso.;The game has detected that the battery is low. You should save soon to avoid losing progress.
{1} sobrevivió al veneno.\n¡El veneno ha desaparecido!;{1} sobrevivió al veneno.\n¡El veneno ha desaparecido!;{1} survived the poison.\nThe poison faded away!
{1} se debilitó...;{1} se debilitó...;{1} fainted...
¡No tienes más Pokémon que puedan pelear!;¡No tienes más Pokémon que puedan pelear!;You have no more Pokémon that can fight!
¡Te has desmayado!;¡Te has desmayado!;You blacked out!
¡Has encontrado \c[1]{1}\c[0]!;¡Has encontrado \c[1]{1}\c[0]!;You found \c[1]{1}\c[0]!
¡Has encontrado {1} \c[1]{2} {3}\c[0]!;¡Has encontrado {1} \c[1]{2} {3}\c[0]!;You found {1} \c[1]{2} {3}\c[0]!
¡Has encontrado \c[1]{1} {2}\c[0]!;¡Has encontrado \c[1]{1} {2}\c[0]!;You found \c[1]{1} {2}\c[0]!
¡Has encontrado {1} \c[1]{2}\c[0]!;¡Has encontrado {1} \c[1]{2}\c[0]!;You found {1} \c[1]{2}\c[0]!
Has guardado {1} en\nel bolsillo <icon=bagPocket{2}>\c[1]{3}\c[0].;Has guardado {1} en\nel bolsillo <icon=bagPocket{2}>\c[1]{3}\c[0].;You put away {1} in\nthe <icon=bagPocket{2}>\c[1]{3}\c[0] Pocket.
Pero tu Mochila está llena...;Pero tu Mochila está llena...;But your Bag is full...
¡Has obtenido \c[1]{1}\c[0]!;¡Has obtenido \c[1]{1}\c[0]!;You obtained \c[1]{1}\c[0]!
¡Has obtenido {1} \c[1]{2} {3}\c[0]!;¡Has obtenido {1} \c[1]{2} {3}\c[0]!;You obtained {1} \c[1]{2} {3}\c[0]!
¡Has obtenido \c[1]{1} {2}\c[0]!;¡Has obtenido \c[1]{1} {2}\c[0]!;You obtained \c[1]{1} {2}\c[0]!
¡Has obtenido {1} \c[1]{2}\c[0]!;¡Has obtenido {1} \c[1]{2}\c[0]!;You obtained {1} \c[1]{2}\c[0]!
ÁRBITRO: ¡{1} VS {2}!\n¡Comienza la batalla!;ÁRBITRO: ¡{1} VS {2}!\n¡Comienza la batalla!;REFEREE: {1} VS {2}!\nLet the battle begin!
ÁRBITRO: ¡Se acabó! ¡Pasamos ahora a las valoraciones para decidir quién es el ganador!;ÁRBITRO: ¡Se acabó! ¡Pasamos ahora a las valoraciones para decidir quién es el ganador!;REFEREE: Time's up! We will now judge to determine the winner!
ÁRBITRO: ¡Juzgando la categoría 1, Mente!\n¡El Pokémon que ha mostrado más agallas!;ÁRBITRO: ¡Juzgando la categoría 1, Mente!\n¡El Pokémon que ha mostrado más agallas!;REFEREE: Judging category 1, Mind!\nThe Pokémon that showed the most guts!
ÁRBITRO: ¡Juzgando la categoría 2, Habilidad!\n¡El Pokémon que mejor ha usado movimientos!;ÁRBITRO: ¡Juzgando la categoría 2, Habilidad!\n¡El Pokémon que mejor ha usado movimientos!;REFEREE: Judging category 2, Skill!\nThe Pokémon that used moves the best!
ÁRBITRO: ¡Juzgando la categoría 3, Cuerpo!\n¡El Pokémon con más vitalidad!;ÁRBITRO: ¡Juzgando la categoría 3, Cuerpo!\n¡El Pokémon con más vitalidad!;REFEREE: Judging category 3, Body!\nThe Pokémon with the most vitality!
ÁRBITRO: ¡Juicio: {1} a {2}!\n¡Tenemos un empate!;ÁRBITRO: ¡Juicio: {1} a {2}!\n¡Tenemos un empate!;REFEREE: Judgment: {1} to {2}!\nWe have a tie!
ÁRBITRO: ¡Juicio: ¡{1} a {2}!\n¡El ganador es {3}'s {4}!;ÁRBITRO: ¡Juicio: ¡{1} a {2}!\n¡El ganador es {3}'s {4}!;REFEREE: Judgment: {1} to {2}!\nThe winner is {3}'s {4}!
Organizar Tileset;Organizar Tileset;Organize Tileset
Modo: Intercambiar tiles;Modo: Intercambiar tiles;Mode: Swap tiles
Modo: Cortar/insertar tiles;Modo: Cortar/insertar tiles;Mode: Cut/Insert tiles
Modo: Mover filas;Modo: Mover filas;Mode: Move rows
Modo: Insertar nueva fila;Modo: Insertar nueva fila;Mode: Insert new row
Modo: Eliminar tiles no usados;Modo: Eliminar tiles no usados;Mode: Erase unused tiles
Modo: Eliminar fila;Modo: Eliminar fila;Mode: Delete row
Altura: {1}/{2} filas;Altura: {1}/{2} filas;Height: {1}/{2} rows
Altura: {1}/{2} filas [!];Altura: {1}/{2} filas [!];Height: {1}/{2} rows [!]
C: Intercambiar tiles;C: Intercambiar tiles;C: Swap tiles
X: Cancelar intercmabio;X: Cancelar intercmabio;X: Cancel swap
C: Insertar tiles aquí;C: Insertar tiles aquí;C: Insert tiles here
X: Cancelar inserción de tiles;X: Cancelar inserción de tiles;X: Cancel insert tiles
FLECHAS: Seleccionar múltiples tiles;FLECHAS: Seleccionar múltiples tiles;ARROWS: Select multiple tiles
SOLTAR C: Terminar selección;SOLTAR C: Terminar selección;RELEASE C: End selection
C: Seleccionar tile;C: Seleccionar tile;C: Select tile
MANTENER C: Seleccionar múltiples tiles;MANTENER C: Seleccionar múltiples tiles;HOLD C: Select multiple tiles
C: Mover fila aquí;C: Mover fila aquí;C: Move row here
X: Cancelar mover fila;X: Cancelar mover fila;X: Cancel move row
FLECHAS: Select multiple rows;FLECHAS: Select multiple rows;ARROWS: Select multiple rows
C: Seleccionar fila;C: Seleccionar fila;C: Select row
MANTENER C: Seleccionar múltiples filas;MANTENER C: Seleccionar múltiples filas;HOLD C: Select multiple rows
C: Insertar fila de tiles;C: Insertar fila de tiles;C: Insert row of tiles
SOLTAR C: Eliminar tiles;SOLTAR C: Eliminar tiles;RELEASE C: Delete tiles
C: Eliminar tile;C: Eliminar tile;C: Delete tile
MANTENER C: Eliminar múltiples tiles;MANTENER C: Eliminar múltiples tiles;HOLD C: Delete multiple tiles
C: Eliminar fila de tiles;C: Eliminar fila de tiles;C: Delete row of tiles
A/S: Saltar arriba/abajo del tileset;A/S: Saltar arriba/abajo del tileset;A/S: Jump to top/bottom of tileset
Z: Cambiar modo a cortar/insertar;Z: Cambiar modo a cortar/insertar;Z: Change mode to cut/insert
Z: Cambiar modo a intercambiar;Z: Cambiar modo a intercambiar;Z: Change mode to swap
Z: Cambiar modo;Z: Cambiar modo;Z: Change mode
D: Abrir menú;D: Abrir menú;D: Open menu
Q: Deshacer ({1});Q: Deshacer ({1});Q: Undo ({1})
W: Rehacer ({1});W: Rehacer ({1});W: Redo ({1})
Q: Deshacer ({1}) - W: Rehacer ({2});Q: Deshacer ({1}) - W: Rehacer ({2});Q: Undo ({1}) - W: Redo ({2})
Campo '{1}' no es un entero.;Campo '{1}' no es un entero.;Field '{1}' is not an integer.
Campo '{1}' no es un natural o 0.;Campo '{1}' no es un natural o 0.;Field '{1}' is not a natural number or 0.
Campo '{1}' no es un natural.;Campo '{1}' no es un natural.;Field '{1}' is not a natural number.
Campo '{1}' debe ser mayor a 0.;Campo '{1}' debe ser mayor a 0.;Field '{1}' must be greater than 0.
Campo '{1}' no es un número hexadecimal.;Campo '{1}' no es un número hexadecimal.;Field '{1}' is not a hexadecimal number.
Campo '{1}' no es un número.;Campo '{1}' no es un número.;Field '{1}' is not a number.
Campo '{1}' no es un valor booleano (true, false, 1, 0).;Campo '{1}' no es un valor booleano (true, false, 1, 0).;Field '{1}' is not a boolean value (true, false, 1, 0).
Campo '{1}' solo debe contener letras, digitos y\nguión bajo y no puede comenzar con un número.;Campo '{1}' solo debe contener letras, digitos y\nguión bajo y no puede comenzar con un número.;Field '{1}' should only contain letters, digits, and\nunderscore and cannot start with a number.
'{1}' no es de un tipo definido (tipo {2}, Debilidad).;'{1}' no es de un tipo definido (tipo {2}, Debilidad).;'{1}' is not a defined type (type {2}, Weaknesses).
'{1}' no es de un tipo definido (tipo {2}, Resistencias).;'{1}' no es de un tipo definido (tipo {2}, Resistencias).;'{1}' is not a defined type (type {2}, Resistances).
'{1}' no es de un tipo definido (tipo {2}, Inmunidades).;'{1}' no es de un tipo definido (tipo {2}, Inmunidades).;'{1}' is not a defined type (type {2}, Immunities).
Ver Histórico;Ver Histórico;View Legacy
Tiene corona brillante.;Tiene corona brillante.;Has shiny crown.
Número de hojas brillantes: x{1}.;Número de hojas brillantes: x{1}.;Number of shiny leaves: x{1}.
Definir contador de hoja;Definir contador de hoja;Set leaf counter
Definir corona;Definir corona;Set crown
Resetear;Resetear;Reset
Indica el contador de hojas de {1} (máx. 6).;Indica el contador de hojas de {1} (máx. 6).;Indicate {1}'s leaf counter (max. 6).
Hoja brillante;Hoja brillante;Shiny Leaf
HISTÓRICO DE {1};HISTÓRICO DE {1};LEGACY OF {1}
General;General;General
Tiempo total en el equipo:;Tiempo total en el equipo:;Total time in party:
Objetos consumidos:;Objetos consumidos:;Items consumed:
Movimientos aprendidos:;Movimientos aprendidos:;Moves learned:
Huevos generados:;Huevos generados:;Eggs generated:
Veces intercambiado:;Veces intercambiado:;Times traded:
Combates;Combates;Battles
Rivales derrotados:;Rivales derrotados:;Rivals defeated:
Veces derrotado:;Veces derrotado:;Times defeated:
Ataques muy eficaces:;Ataques muy eficaces:;Super effective attacks:
Golpes críticos hechos:;Golpes críticos hechos:;Critical hits dealt:
Número de retiradas:;Número de retiradas:;Number of retreats:
Equipo;Equipo;Team
Victorias contra Entrenadores:;Victorias contra Entrenadores:;Trainer victories:
Victorias a Líderes de Gimnasio:;Victorias a Líderes de Gimnasio:;Gym Leader victories:
Victorias contra Legendarios:;Victorias contra Legendarios:;Legendary victories:
Veces en el Hall de la Fama:;Veces en el Hall de la Fama:;Hall of Fame entries:
Total de empates o derrotas:;Total de empates o derrotas:;Total ties or losses:
EV/IV Totales;EV/IV Totales;EV/IV Totals
EVs restantes:;EVs restantes:;Remaining EVs:
Tipo de Poder Oculto:;Tipo de Poder Oculto:;Hidden Power Type:
Teléfono;Teléfono;Phone
No tienes números de teléfono guardados.;No tienes números de teléfono guardados.;You have no phone numbers saved.
¿Estás seguro de que quieres eliminar a {1} de tus contactos?;¿Estás seguro de que quieres eliminar a {1} de tus contactos?;Are you sure you want to remove {1} from your contacts?
Has eliminado a {1} de tus contactos.;Has eliminado a {1} de tus contactos.;You removed {1} from your contacts.
No tienes contactos guardados.;No tienes contactos guardados.;You have no contacts saved.
¿Cómo quieres ordenar los contactos?;¿Cómo quieres ordenar los contactos?;How do you want to sort contacts?
Por nombre;Por nombre;By name
Por tipo de Entrenador;Por tipo de Entrenador;By Trainer type
Contactos especiales primero;Contactos especiales primero;Special contacts first
Eliminar;Eliminar;Delete
Ordenar Contactos;Ordenar Contactos;Sort Contacts
Registrado;Registrado;Registered
Esperando revancha;Esperando revancha;Waiting for rematch
El entrenador del jugador no está definido, por lo que el menú de pausa no se puede mostrar.;El entrenador del jugador no está definido, por lo que el menú de pausa no se puede mostrar.;The player's trainer is not defined, so the pause menu cannot be shown.
Por favor mira la documentación para aprender cómo definir el entrenador del jugador.;Por favor mira la documentación para aprender cómo definir el entrenador del jugador.;Please look at the documentation to learn how to define the player's trainer.
Pokédex;Pokédex;Pokédex
Pokégear;Pokégear;Pokégear
Jukebox;Jukebox;Jukebox
Mapa;Mapa;Map
Tema;Tema;Theme
Guardar;Guardar;Save
Opciones;Opciones;Options
Cerrar Juego;Cerrar Juego;Quit Game
¿Estás seguro de que quieres cerrar el juego?;¿Estás seguro de que quieres cerrar el juego?;Are you sure you want to quit the game?
¿Dar a qué Pokémon?;¿Dar a qué Pokémon?;Give to which Pokémon?
Este Pokémon lleva un objeto. No puede llevar cartas.;Este Pokémon lleva un objeto. No puede llevar cartas.;This Pokémon is holding an item. It cannot hold mail.
La Carta se ha transferido desde el Buzón.;La Carta se ha transferido desde el Buzón.;The Mail was transferred from the Mailbox.
Los Huevos no pueden llevar cartas.;Los Huevos no pueden llevar cartas.;Eggs cannot hold mail.
Elige un Pokémon y confirma.;Elige un Pokémon y confirma.;Choose a Pokémon and confirm.
No pueden entrar más de {1} Pokémon.;No pueden entrar más de {1} Pokémon.;No more than {1} Pokémon may enter.
Este Pokémon no puede ser elegido.;Este Pokémon no puede ser elegido.;This Pokémon can't be chosen.
No se puede usar {1} en ese Pokémon.;No se puede usar {1} en ese Pokémon.;{1} can't be used on that Pokémon.
¿Qué hacer con la carta?;¿Qué hacer con la carta?;What to do with the mail?
Leer;Leer;Read
Coger;Coger;Take
¿Qué hacer con el objeto?;¿Qué hacer con el objeto?;What to do with the item?
¿Mover {1} a dónde?;¿Mover {1} a dónde?;Move {1} to where?
Has equipado {2} a {1}.;Has equipado {2} a {1}.;Equipped {2} to {1}.
{1} ya tiene equipado {2}.;{1} ya tiene equipado {2}.;{1} is already holding {2}.
¿Quieres intercambiar los dos objetos?;¿Quieres intercambiar los dos objetos?;Would you like to switch the two items?
CONFIRMAR;CONFIRMAR;CONFIRM
APTO;APTO;ABLE
NO APTO;NO APTO;NOT ABLE
NO ELEGIBLE;NO ELEGIBLE;NOT ELIGIBLE
NO ELEGIDO;NO ELEGIDO;NOT CHOSEN
BANEADO;BANEADO;BANNED
PRIMERO;PRIMERO;FIRST
SEGUNDO;SEGUNDO;SECOND
TERCERO;TERCERO;THIRD
CUARTO;CUARTO;FOURTH
QUINTO;QUINTO;FIFTH
SEXTO;SEXTO;SIXTH
SÉPTIMO;SÉPTIMO;SEVENTH
OCTAVO;OCTAVO;EIGHTH
NOVENO;NOVENO;NINTH
DÉCIMO;DÉCIMO;TENTH
ONCEAVO;ONCEAVO;ELEVENTH
DOCEAVO;DOCEAVO;TWELFTH
Elegido;Elegido;Chosen
No Elegido;No Elegido;Not Chosen
Carta;Carta;Mail
Equipar;Equipar;Equip
Mover;Mover;Move
Los Huevos no pueden llevar objetos.;Los Huevos no pueden llevar objetos.;Eggs cannot hold items.
Debes quitar la carta a {1} antes de darle un objeto.;Debes quitar la carta a {1} antes de darle un objeto.;You must remove the mail from {1} before giving it an item.
{1} ha recuperado {2} PS.;{1} ha recuperado {2} PS.;{1} recovered {2} HP.
[Especial]: Cajas del PC;[Especial]: Cajas del PC;[Special]: PC Boxes
Puerta del Corazón;Puerta del Corazón;Heart Gate
¡La puerta de su corazón está abierta! ¡Deshaz el bloqueo final!;¡La puerta de su corazón está abierta! ¡Deshaz el bloqueo final!;The door to its heart is open! Undo the final lock!
La puerta de su corazón está prácticamente abierta.;La puerta de su corazón está prácticamente abierta.;The door to its heart is almost fully open.
La puerta de su corazón está cerca de abrirse.;La puerta de su corazón está cerca de abrirse.;The door to its heart is near to opening.
La puerta de su corazón se ha empezado a abrir.;La puerta de su corazón se ha empezado a abrir.;The door to its heart has started to open.
La puerta de su corazón está empezando a abrirse.;La puerta de su corazón está empezando a abrirse.;The door to its heart is beginning to open.
La puerta de su corazón está fuertemente cerrada.;La puerta de su corazón está fuertemente cerrada.;The door to its heart is tightly shut.
Un misterioso Huevo Pokémon entregado por {1}.;Un misterioso Huevo Pokémon entregado por {1}.;A mysterious Pokémon Egg received from {1}.
A veces se mueve. Debería abrirse pronto.;A veces se mueve. Debería abrirse pronto.;It moves sometimes. It should hatch soon.
Está haciendo ruidos. ¡Está a punto de abrirse!;Está haciendo ruidos. ¡Está a punto de abrirse!;It's making sounds! It's about to hatch!
Conocido en un Encuentro Fatídico al Nv. {1}.;Conocido en un Encuentro Fatídico al Nv. {1}.;Met in a fateful encounter at Lv. {1}.
A menudo está en Babia.;A menudo está en Babia.;Often lost in thought.
Siempre tiene el oído alerta.;Siempre tiene el oído alerta.;Alert to sounds.
Huye rápido.;Huye rápido.;Quick to flee.
¡Debes elegir un movimiento!;¡Debes elegir un movimiento!;A move must be chosen!
Puntos Exp.;Puntos Exp.;Exp. Points
Siguiente Nv.;Siguiente Nv.;Next Lv.
INFORMACIÓN;INFORMACIÓN;INFORMATION
ESTADÍSTICAS;ESTADÍSTICAS;STATISTICS
Estado del Huevo;Estado del Huevo;Egg Watch status
Lugar lejano;Lugar lejano;Faraway place
Le encanta comer.;Le encanta comer.;Loves to eat.
A menudo se duerme.;A menudo se duerme.;Often dozes off.
Suele desordenar cosas.;Suele desordenar cosas.;Scatters things often.
A veces se enfada.;A veces se enfada.;Gets angry sometimes.
Le gusta relajarse.;Le gusta relajarse.;Likes to relax.
Orgulloso de su fuerza.;Orgulloso de su fuerza.;Proud of its power.
Le gusta revolverse.;Le gusta revolverse.;Likes to thrash about.
Un poco cabezota.;Un poco cabezota.;A little quick tempered.
Le gusta luchar.;Le gusta luchar.;Likes to fight.
Tiene mal genio.;Tiene mal genio.;Quick tempered.
Cuerpo resistente.;Cuerpo resistente.;Sturdy body.
Es buen fajador.;Es buen fajador.;Capable of taking hits.
Muy persistente.;Muy persistente.;Highly persistent.
Muy resistente.;Muy resistente.;Good endurance.
Muy perseverante.;Muy perseverante.;Good perseverance.
Extremadamente curioso.;Extremadamente curioso.;Highly curious.
Le gusta hacer travesuras.;Le gusta hacer travesuras.;Mischievous.
Muy astuto.;Muy astuto.;Thoroughly cunning.
Muy quisquilloso.;Muy quisquilloso.;Very finicky.
Voluntarioso.;Voluntarioso.;Strong willed.
Es algo orgulloso.;Es algo orgulloso.;Somewhat vain.
Muy insolente.;Muy insolente.;Strongly defiant.
Odia perder.;Odia perder.;Hates to lose.
Le gusta correr.;Le gusta correr.;Likes to run.
Impetuoso y bobo.;Impetuoso y bobo.;Impetuous and silly.
Es un poco payaso.;Es un poco payaso.;Somewhat of a clown.
No hay Pokémon.;No hay Pokémon.;There are no Pokémon.
¿Cuántos {1} tirar?;¿Cuántos {1} tirar?;Toss out how many {1}?
¿Quieres tirar {1} {2}?;¿Quieres tirar {1} {2}?;Is it OK to throw away {1} {2}?
Elige la nueva calidad de {1} (máx. {2}).;Elige la nueva calidad de {1} (máx. {2}).;Choose the new quantity of {1} (max. {2}).
¿Cuántos quieres tirar?;¿Cuántos quieres tirar?;How many do you want to withdraw?
No hay más espacio en la Mochila.;No hay más espacio en la Mochila.;There's no more room in the Bag.
¿Cuántos quieres dejar?;¿Cuántos quieres dejar?;How many do you want to deposit?
¡Eso es muy importante para tirarlo!;¡Eso es muy importante para tirarlo!;That's too important to toss out!
Cambiar cantidad;Cambiar cantidad;Change quantity
Hacer Regalo Misterioso;Hacer Regalo Misterioso;Make Mystery Gift
Has dejado {1} {2}.;Has dejado {1} {2}.;Deposited {1} {2}.
No hay espacio para guardar objetos.;No hay espacio para guardar objetos.;There's no room to store items.
Has tirado {1} {2}.;Has tirado {1} {2}.;Withdrew {1} {2}.
Modo de Búsqueda;Modo de Búsqueda;Search Mode
Numérico;Numérico;Numerical
Más pesado;Más pesado;Heaviest
Más ligero;Más ligero;Lightest
Más alto;Más alto;Tallest
Más bajo;Más bajo;Smallest
No se han encontrado Pokémon con estos criterios.;No se han encontrado Pokémon con estos criterios.;No Pokémon were found with these criteria.
Resultados:;Resultados:;Results:
Avistados:;Avistados:;Seen:
Capturados:;Capturados:;Owned:
Orden;Orden;Order
Nombre;Nombre;Name
Tipo;Tipo;Type
Color;Color;Color
Forma;Forma;Shape
Empezar;Empezar;Start
Play: Marcha Pokémon;Play: Marcha Pokémon;Play: Pokémon March
Play: Nana Pokémon;Play: Nana Pokémon;Play: Pokémon Lullaby
Stop;Stop;Stop
Salir;Salir;Exit
Atrás;Atrás;Back
¿Qué Pokémon buscar?;¿Qué Pokémon buscar?;Search for which Pokémon?
El Pokémon buscado está en las siguientes cajas. Elige a cual desplazarte.;El Pokémon buscado está en las siguientes cajas. Elige a cual desplazarte.;The searched Pokémon is in the following boxes. Choose which to jump to.
Marca a tu Pokémon.;Marca a tu Pokémon.;Mark your Pokémon.
¡Llevas un Pokémon!;¡Llevas un Pokémon!;You're carrying a Pokémon!
¿Continuar operaciones?;¿Continuar operaciones?;Continue operations?
¿Salir del PC?;¿Salir del PC?;Exit the PC?
¿Cuál quieres coger?;¿Cuál quieres coger?;Which one do you want to pick up?
¿Continuar con las operacions?;¿Continuar con las operacions?;Continue with operations?
¡Tu equipo está lleno!;¡Tu equipo está lleno!;Your party is full!
¡Es tu último Pokémon!;¡Es tu último Pokémon!;That's your last Pokémon!
¡{1} no quiere quedarse en el PC!;¡{1} no quiere quedarse en el PC!;{1} doesn't want to stay in the PC!
¿Dejar en qué caja?;¿Dejar en qué caja?;Deposit in which Box?
La Caja está llena.;La Caja está llena.;The Box is full.
¡{1} no quiere separarse de ti!;¡{1} no quiere separarse de ti!;{1} doesn't want to be separated from you!
¿Liberar este Pokémon?;¿Liberar este Pokémon?;Release this Pokémon?
¡Adiós, {1}!;¡Adiós, {1}!;Bye-bye, {1}!
¿Coger {1}?;¿Coger {1}?;Pick up the {1}?
¿Saltar a qué Caja?;¿Saltar a qué Caja?;Jump to which Box?
Equipo: {1};Equipo: {1};Party: {1}
OK;OK;OK
Sin habilidad;Sin habilidad;No ability
Sin objeto;Sin objeto;No item
CATEGORÍA;CATEGORÍA;CATEGORY
Precisión;Precisión;Accuracy
NOTAS ENTREN.;NOTAS ENTREN.;TRAINER MEMO
CINTAS;CINTAS;RIBBONS
No. Dex;No. Dex;Dex No.
Especie;Especie;Species
EO;EO;OT
No. ID;No. ID;ID No.
PRESTADO;PRESTADO;LOANED
POTENCIA;POTENCIA;POWER
No. de Cintas:;No. de Cintas:;Ribbon Count:
Marcar a {1};Marcar a {1};Mark {1}
Enfrentados:;Enfrentados:;Battled:
Pokémon ?????;Pokémon ?????;Pokémon ?????
Área desconocida;Área desconocida;Unknown area
Área de {1};Área de {1};Area of {1}
Medallas:;Medallas:;Badges:
Tiempo:;Tiempo:;Time:
{1}h {2}m;{1}h {2}m;{1}h {2}m
{1}m;{1}m;{1}m
No se ha encontrado el charset del jugador {1} andando (archivo: ""{2}"").;No se ha encontrado el charset del jugador {1} andando (archivo: ""{2}"").;Player {1}'s walking charset not found (file: ""{2}"").
